Order_Date,Product_Name,Category,Region,Quantity,Sales,Profit,Column1,Column2,Column3,,,,
31 December 2024,Printer,Office,North,4.00,3640.00,348.93,,,,,,,
27 November 2022,Mouse,Accessories,East,7.00,1197.00,106.53,,,,,,,
11 May 2022,Tablet,Electronics,South,5.00,5865.00,502.73,,,,,,,
16 March 2024,Mouse,Accessories,South,2.00,786.00,202.87,,,,,,,
10 September 2022,Mouse,Accessories,West,1.00,509.00,103.28,,,,,,,
01 December 2023,Camera,Electronics,West,1.00,524.00,106.35,,,,,,,
09 October 2023,Headphones,Accessories,North,7.00,6167.00,1027.98,,,,,,,
14 January 2022,Camera,Electronics,South,7.00,3059.00,873.50,,,,,,,
02 April 2022,Smartwatch,Electronics,East,9.00,5526.00,595.28,,,,,,,
22 October 2024,Printer,Office,South,8.00,672.00,186.37,,,,,,,
04 December 2023,Monitor,Accessories,South,6.00,7074.00,1357.68,,,,,,,
27 September 2022,Smartwatch,Electronics,East,2.00,502.00,137.40,,,,,,,
21 December 2023,Tablet,Electronics,North,7.00,7462.00,2166.17,,,,,,,
03 February 2024,Smartphone,Electronics,West,5.00,4205.00,585.29,,,,,,,
10 October 2023,Camera,Electronics,West,1.00,570.00,138.54,,,,,,,
16 October 2022,Headphones,Accessories,East,1.00,441.00,102.42,,,,,,,
15 May 2022,Mouse,Accessories,North,7.00,7469.00,589.81,,,,,,,
11 February 2023,Tablet,Electronics,South,2.00,2212.00,145.75,,,,,,,
27 December 2023,Tablet,Electronics,East,5.00,740.00,146.39,,,,,,,
05 October 2023,Headphones,Accessories,North,1.00,662.00,193.92,,,,,,,
05 March 2024,Mouse,Accessories,North,7.00,5712.00,651.27,,,,,,,
18 July 2023,Smartwatch,Electronics,North,3.00,2739.00,572.73,,,,,,,
25 June 2023,Keyboard,Accessories,West,5.00,1400.00,213.63,,,,,,,
13 November 2023,Printer,Office,North,3.00,3477.00,939.20,,,,,,,
09 July 2022,Camera,Electronics,North,5.00,3475.00,570.36,,,,,,,
11 December 2023,Laptop,Electronics,West,9.00,6138.00,1562.14,,,,,,,
18 March 2023,Camera,Electronics,West,5.00,3665.00,406.93,,,,,,,
09 August 2024,Printer,Office,North,2.00,2372.00,206.42,,,,,,,
04 May 2024,Laptop,Electronics,North,2.00,1382.00,211.11,,,,,,,
04 September 2022,Laptop,Electronics,West,1.00,1126.00,194.08,,,,,,,
21 October 2022,Printer,Office,West,8.00,1376.00,152.10,,,,,,,
22 January 2024,Mouse,Accessories,West,4.00,988.00,147.91,,,,,,,
09 April 2023,Laptop,Electronics,North,9.00,10773.00,1907.36,,,,,,,
07 February 2023,Headphones,Accessories,South,4.00,3252.00,713.46,,,,,,,
04 May 2023,Headphones,Accessories,North,3.00,2739.00,202.81,,,,,,,
18 April 2023,Tablet,Electronics,South,7.00,2709.00,702.79,,,,,,,
12 December 2022,Printer,Office,West,3.00,936.00,201.24,,,,,,,
11 September 2022,Camera,Electronics,West,4.00,3720.00,410.92,,,,,,,
26 March 2024,Mouse,Accessories,West,5.00,5320.00,716.91,,,,,,,
20 September 2023,Headphones,Accessories,East,4.00,804.00,121.51,,,,,,,
25 May 2023,Laptop,Electronics,North,8.00,1224.00,246.77,,,,,,,
04 December 2022,Headphones,Accessories,South,9.00,8667.00,781.78,,,,,,,
10 June 2022,Monitor,Accessories,West,3.00,3018.00,320.11,,,,,,,
05 February 2023,Laptop,Electronics,West,5.00,4325.00,1023.39,,,,,,,
20 January 2024,Laptop,Electronics,South,3.00,1557.00,181.08,,,,,,,
27 January 2022,Monitor,Accessories,South,6.00,3672.00,1002.50,,,,,,,
29 March 2023,Mouse,Accessories,West,1.00,333.00,72.34,,,,,,,
17 January 2022,Headphones,Accessories,West,4.00,2384.00,577.26,,,,,,,
26 November 2024,Mouse,Accessories,West,6.00,888.00,210.39,,,,,,,
